,Estrato,Estado,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Antigüedad,Piso N°,Administración,Precio m²,Precio total (COP),Tipo de apartamento
245,5,,2,2,1,60,60,16 a 30 años,12,$ 287.000 COP,$ 7.500.000,$450.000.000,
246,4,,3,2,1,55,55,1 a 8 años,15,$ 150.000 COP,"$ 5.090.909,09",$280.000.000,
247,4,,2,2,1,50,50,1 a 8 años,Otro,$ 170.000 COP,$ 6.800.000,$340.000.000,
248,6,,3,3,2,159,0,16 a 30 años,2,$ 388.000 COP,"$ 3.962.264,15",$630.000.000,
249,5,Sobre planos,,,,,,,,,,,
250,4,Excelente,3,3,1,95,0,16 a 30 años,,$ 358.000 COP,"$ 4.684.210,53",$445.000.000,
251,3,,1,1,,30,28,9 a 15 años,16,$ 120.000 COP,"$ 4.666.666,67",$140.000.000,Loft
252,4,,3,2,1,92,92,16 a 30 años,,$ 225.000 COP,"$ 4.728.260,87",$435.000.000,
253,5,,3,2,1,91,91,más de 30 años,4,$ 291.800 COP,"$ 5.439.560,44",$495.000.000,
254,4,,3,2,1,86,86,1 a 8 años,12,$ 347.000 COP,"$ 6.046.511,63",$520.000.000,
255,5,En construcción,,,,,,,,,,,
256,6,Excelente,3,4,3,135,135,,,No definida,"$ 7.037.037,04",$950.000.000,
257,4,,2,2,,64,64,1 a 8 años,3,$ 69.000 COP,$ 5.625.000,$360.000.000,
258,4,,3,2,,57,57,9 a 15 años,2,$ 198.000 COP,"$ 4.824.561,4",$275.000.000,
259,4,,1,2,,50,49,menor a 1 año,8,No definida,$ 5.200.000,$260.000.000,Duplex
260,6,,5,6,2,205,205,16 a 30 años,1,$ 380.000 COP,"$ 4.731.707,32",$970.000.000,
261,5,,2,2,1,75,75,,2,$ 330.000 COP,"$ 5.333.333,33",$400.000.000,
262,5,,3,3,1,87,87,1 a 8 años,4,$ 450.000 COP,"$ 7.126.436,78",$620.000.000,
263,6,,2,3,2,165,165,1 a 8 años,1,$ 800.000 COP,"$ 9.212.121,21",$1.520.000.000,
264,4,En construcción,,,,,,,,,,,
265,5,,3,2,1,84,84,1 a 8 años,6,$ 544.000 COP,"$ 6.369.047,62",$535.000.000,
266,4,,3,2,1,65,65,9 a 15 años,1,$ 250.000 COP,"$ 5.692.307,69",$370.000.000,
267,5,Sobre planos,,,,,,,,,,,
268,5,,3,2,,100,100,,4,$ 275.500 COP,$ 3.100.000,$310.000.000,
269,5,,4,3,1,129,129,1 a 8 años,2,$ 391.000 COP,"$ 5.232.558,14",$675.000.000,
270,5,,3,3,1,101,101,más de 30 años,3,$ 273.200 COP,"$ 4.752.475,25",$480.000.000,
271,4,Sobre planos,,,,,,,,,,,
272,5,,3,4,1,116,116,16 a 30 años,Otro,$ 470.000 COP,"$ 5.603.448,28",$650.000.000,
273,5,Excelente,1,2,2,"50,85",51,menor a 1 año,8,No definida,"$ 8.849.557,52",$450.000.000,
274,5,,3,2,1,68,0,9 a 15 años,5,$ 388.000 COP,"$ 6.176.470,59",$420.000.000,
275,4,,4,2,,100,100,16 a 30 años,3,No definida,$ 4.500.000,$450.000.000,
276,3,En construcción,,,,,,,,,,,
277,4,,1,1,,31,31,,4,$ 120.000 COP,"$ 4.870.967,74",$151.000.000,
278,5,,2,2,1,111,111,16 a 30 años,2,$ 315.605 COP,"$ 5.585.585,59",$620.000.000,
279,5,,3,4,2,196,196,1 a 8 años,7,$ 571.000 COP,"$ 7.316.326,53",$1.434.000.000,
280,5,,4,3,1,95,95,16 a 30 años,7,$ 357.000 COP,"$ 4.684.210,53",$445.000.000,
281,5,,3,2,1,70,70,1 a 8 años,,$ 280.000 COP,"$ 6.785.714,29",$475.000.000,
282,4,En construcción,,,,,,,,,,,
283,5,,3,3,1,101,101,1 a 8 años,4,$ 350.000 COP,"$ 6.930.693,07",$700.000.000,
284,4,,3,3,2,101,92,1 a 8 años,15,$ 357.000 COP,"$ 7.277.227,72",$735.000.000,
285,5,Excelente,3,3,2,120,120,16 a 30 años,3,$ 531.000 COP,$ 5.500.000,$660.000.000,
286,5,,3,3,2,155,155,16 a 30 años,2,$ 790.392 COP,"$ 6.129.032,26",$950.000.000,
287,4,,3,2,1,64,64,1 a 8 años,8,$ 215.600 COP,$ 5.234.375,$335.000.000,
288,5,Sobre planos,,,,,,,,,,,
289,5,,3,4,2,156,156,16 a 30 años,2,$ 889.000 COP,"$ 5.512.820,51",$860.000.000,
290,3,,2,1,,37,0,1 a 8 años,,$ 100.000 COP,"$ 4.864.864,86",$180.000.000,
291,3,,2,1,,56,0,1 a 8 años,1,$ 70.000 COP,"$ 2.321.428,57",$130.000.000,
292,6,,3,4,2,188,188,9 a 15 años,,No definida,"$ 5.851.063,83",$1.100.000.000,
293,5,,2,4,2,150,150,9 a 15 años,8,$ 597.000 COP,"$ 5.466.666,67",$820.000.000,
294,4,,3,2,1,95,95,1 a 8 años,Otro,$ 280.000 COP,"$ 7.263.157,89",$690.000.000,
295,4,,3,2,,67,67,16 a 30 años,,No definida,"$ 4.626.865,67",$310.000.000,
296,5,,3,2,2,162,162,más de 30 años,4,No definida,"$ 3.395.061,73",$550.000.000,
297,4,En construcción,,,,,,,,,,,
298,6,,1,1,,44,44,menor a 1 año,12,$ 250.000 COP,$ 10.000.000,$440.000.000,Loft
299,4,,3,2,1,99,0,9 a 15 años,10,$ 380.000 COP,"$ 5.555.555,56",$550.000.000,
300,5,Sobre planos,,,,,,,,,,,
301,5,,3,2,1,77,77,16 a 30 años,3,$ 70.000 COP,"$ 5.324.675,32",$410.000.000,
302,5,,4,3,2,286,286,,4,$ 870.000 COP,"$ 4.195.804,2",$1.200.000.000,
303,4,,3,2,1,75,0,,13,$ 330.000 COP,$ 5.600.000,$420.000.000,
304,5,Sobre planos,,,,,,,,,,,
305,4,,2,2,1,64,64,,4,$ 280.000 COP,$ 5.343.750,$342.000.000,
306,5,,3,2,1,63,63,1 a 8 años,,$ 250.000 COP,"$ 6.349.206,35",$400.000.000,
307,6,,5,5,3,265,515,16 a 30 años,1,$ 995.000 COP,"$ 5.622.641,51",$1.490.000.000,
308,4,Remodelado,3,2,,108,108,16 a 30 años,3,No definida,"$ 2.962.962,96",$320.000.000,
309,4,En construcción,,,,,,,,,,,
310,4,,3,2,1,73,73,1 a 8 años,7,$ 260.000 COP,"$ 6.438.356,16",$470.000.000,
311,4,,3,2,1,70,70,,Otro,$ 250.000 COP,"$ 7.571.428,57",$530.000.000,
