,Estrato,Estado,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Antigüedad,Piso N°,Administración,Precio m²,Precio total (COP),Tipo de apartamento
696,5,Sobre planos,,,,,,,,,,,
697,5,,3,3,1,102,102,1 a 8 años,3,$ 720.000 COP,"$ 4.509.803,92",$460.000.000,
698,4,,3,2,1,74,74,9 a 15 años,13,$ 330.000 COP,"$ 5.810.810,81",$430.000.000,
699,5,,2,2,1,67,0,,4,$ 411.000 COP,"$ 6.268.656,72",$420.000.000,
700,4,En construcción,,,,,,,,,,,
701,4,Excelente,4,4,1,205,0,,,$ 817.000 COP,"$ 2.195.121,95",$450.000.000,Loft
702,3,,3,2,1,62,62,1 a 8 años,15,$ 230.000 COP,"$ 4.838.709,68",$300.000.000,
703,4,,3,2,1,57,57,1 a 8 años,,$ 230.000 COP,"$ 5.964.912,28",$340.000.000,
704,6,,3,2,2,151,0,16 a 30 años,,No definida,"$ 4.635.099,34",$699.900.000,
705,4,Sobre planos,,,,,,,,,,,
706,6,,2,4,3,194,194,9 a 15 años,,$ 1.065.000 COP,"$ 8.015.463,92",$1.555.000.000,
707,2,,3,2,,98,0,,,No definida,"$ 2.551.020,41",$250.000.000,
708,4,,2,2,1,56,56,1 a 8 años,,$ 275.000 COP,"$ 4.821.428,57",$270.000.000,
709,5,,3,3,1,132,132,,3,$ 225.000 COP,"$ 3.484.848,48",$460.000.000,
710,4,,3,2,1,90,0,,3,$ 309.900 COP,"$ 7.555.555,56",$680.000.000,
711,5,En construcción,,,,,,,,,,,
712,4,,3,2,1,68,0,,14,$ 270.000 COP,"$ 6.029.411,76",$410.000.000,
713,2,,3,2,,74,74,9 a 15 años,3,$ 194.000 COP,"$ 3.513.513,51",$260.000.000,
714,3,,3,2,1,52,0,,Otro,$ 201.500 COP,"$ 5.192.307,69",$270.000.000,
715,5,,3,2,,92,0,16 a 30 años,2,$ 293.000 COP,"$ 4.891.304,35",$450.000.000,
716,5,,4,4,2,204,164,más de 30 años,1,$ 570.000 COP,"$ 3.676.470,59",$750.000.000,
717,3,En construcción,,,,,,,,,,,
718,6,,3,2,2,110,0,,11,$ 410.000 COP,"$ 6.818.181,82",$750.000.000,
719,4,,3,2,1,70,0,,5,$ 170.000 COP,"$ 4.142.857,14",$290.000.000,
720,5,,2,2,1,67,0,,,$ 411.000 COP,"$ 6.268.656,72",$420.000.000,
721,6,,3,4,2,305,305,16 a 30 años,,$ 1.125.000 COP,"$ 10.655.737,7",$3.250.000.000,
722,4,,3,2,1,70,70,16 a 30 años,4,$ 315.000 COP,$ 5.000.000,$350.000.000,
723,4,,3,2,1,100,0,,3,$ 270.000 COP,$ 6.000.000,$600.000.000,
724,5,,4,3,2,161,161,,7,$ 580.000 COP,"$ 4.534.161,49",$730.000.000,
725,5,,3,3,1,88,88,16 a 30 años,1,$ 500.000 COP,"$ 4.090.909,09",$360.000.000,
726,4,En construcción,,,,,,,,,,,
727,6,Bueno,3,3,1,117,117,16 a 30 años,,$ 480.000 COP,"$ 5.299.145,3",$620.000.000,
728,4,,3,2,2,54,54,menor a 1 año,11,$ 250.000 COP,"$ 7.037.037,04",$380.000.000,
729,5,Sobre planos,,,,,,,,,,,
730,3,Excelente,3,2,1,88,0,9 a 15 años,,$ 50.000 COP,"$ 3.977.272,73",$350.000.000,Loft
731,3,Excelente,4,2,,130,0,más de 30 años,,No definida,"$ 2.615.384,62",$340.000.000,Loft
732,3,Excelente,3,2,,96,0,más de 30 años,,No definida,"$ 2.291.666,67",$220.000.000,Loft
733,5,Sobre planos,,,,,,,,,,,
734,3,Excelente,3,2,,42,0,16 a 30 años,,$ 125.300 COP,"$ 4.047.619,05",$170.000.000,Loft
735,3,Excelente,3,2,,56,0,9 a 15 años,,$ 140.000 COP,"$ 4.285.714,29",$240.000.000,Loft
736,4,Excelente,4,4,2,147,0,más de 30 años,,$ 468.000 COP,"$ 4.557.823,13",$670.000.000,Loft
737,3,Excelente,3,2,1,66,0,,,$ 240.000 COP,"$ 5.303.030,3",$350.000.000,Loft
738,5,En construcción,,,,,,,,,,,
739,4,Excelente,3,2,1,56,0,16 a 30 años,,No definida,"$ 5.714.285,71",$320.000.000,Loft
740,5,Excelente,3,3,1,104,0,más de 30 años,,$ 175.000 COP,"$ 3.557.692,31",$370.000.000,Loft
741,6,Excelente,4,5,2,252,0,más de 30 años,,No definida,"$ 5.952.386,9",$1.500.001.500,Loft
742,2,Excelente,4,2,,62,0,16 a 30 años,,$ 1 COP,"$ 4.838.709,68",$300.000.000,Loft
743,5,Excelente,3,2,1,75,0,1 a 8 años,,No definida,$ 6.400.000,$480.000.000,Loft
744,4,Sobre planos,,,,,,,,,,,
745,5,Excelente,4,3,1,240,0,9 a 15 años,,No definida,"$ 2.833.333,33",$680.000.000,Loft
746,5,Excelente,3,3,1,107,0,más de 30 años,,No definida,"$ 4.672.897,2",$500.000.000,Loft
747,4,,3,2,1,72,0,,3,$ 267.000 COP,"$ 4.722.222,22",$340.000.000,
748,6,Excelente,5,4,2,183,0,,,$ 600.000 COP,"$ 4.360.655,74",$798.000.000,Loft
749,5,Excelente,4,3,1,93,0,16 a 30 años,,$ 286.000 COP,"$ 4.946.236,56",$460.000.000,Loft
750,4,En construcción,,,,,,,,,,,
751,4,Excelente,4,3,1,200,0,más de 30 años,,No definida,$ 3.100.000,$620.000.000,Loft
752,3,Excelente,5,2,,110,0,1 a 8 años,,No definida,"$ 3.409.090,91",$375.000.000,Loft
753,5,,4,4,1,148,0,,4,No definida,"$ 3.513.513,51",$520.000.000,
754,3,Excelente,4,2,,76,0,16 a 30 años,,$ 113.000 COP,"$ 3.421.052,63",$260.000.000,Loft
755,5,Excelente,3,3,2,165,0,16 a 30 años,,$ 723.000 COP,"$ 4.545.454,55",$750.000.000,Loft
756,5,,3,2,1,88,0,,14,$ 404.500 COP,$ 7.500.000,$660.000.000,
757,6,Excelente,2,3,1,72,0,,,$ 268.174 COP,"$ 8.194.444,44",$590.000.000,Loft
758,5,Excelente,3,4,3,246,0,,,$ 456.000 COP,"$ 3.902.439,02",$960.000.000,Loft
759,5,Sobre planos,,,,,,,,,,,
760,4,,3,2,1,94,94,16 a 30 años,3,$ 180.000 COP,"$ 4.202.127,66",$395.000.000,
761,6,,3,2,1,124,117,16 a 30 años,2,$ 600.000 COP,"$ 4.395.161,29",$545.000.000,
762,5,Sobre planos,,,,,,,,,,,
763,2,Excelente,3,1,,37,0,9 a 15 años,,$ 120.000 COP,"$ 4.864.864,86",$180.000.000,Loft
764,5,,3,2,,86,0,,1,No definida,"$ 4.069.767,44",$350.000.000,
765,4,,3,2,1,77,77,1 a 8 años,,No definida,"$ 8.181.818,18",$630.000.000,
766,5,Sobre planos,,,,,,,,,,,
767,3,,4,3,,108,0,,,No definida,"$ 3.518.518,52",$380.000.000,
768,4,,3,2,,136,0,,,No definida,$ 2.500.000,$340.000.000,
769,4,,1,1,1,36,0,,,$ 167.300 COP,"$ 6.666.666,67",$240.000.000,
770,5,,3,3,1,101,0,,3,$ 167.000 COP,"$ 4.356.435,64",$440.000.000,
771,3,En construcción,,,,,,,,,,,
772,3,,2,1,,60,0,,3,No definida,"$ 3.333.333,33",$200.000.000,
773,5,,2,2,1,73,0,,,$ 158.000 COP,"$ 4.794.520,55",$350.000.000,
774,3,Excelente,1,1,,35,0,16 a 30 años,,No definida,"$ 3.857.142,86",$135.000.000,Loft
775,2,,3,2,,52,0,,,No definida,"$ 3.461.538,46",$180.000.000,
776,5,,4,4,1,150,0,,,$ 330.000 COP,$ 5.200.000,$780.000.000,
777,4,Sobre planos,,,,,,,,,,,
778,4,,3,2,,101,0,,,No definida,"$ 3.861.386,14",$390.000.000,
779,4,,1,1,,39,0,,4,No definida,"$ 6.025.641,03",$235.000.000,
780,5,Excelente,3,4,1,180,0,1 a 8 años,,No definida,"$ 6.111.111,11",$1.100.000.000,Loft
781,1,,3,3,1,269,0,,1,No definida,"$ 3.159.851,3",$850.000.000,
782,4,,3,2,,98,0,,4,$ 100.000 COP,"$ 4.183.673,47",$410.000.000,
783,4,En construcción,,,,,,,,,,,
784,6,Excelente,4,6,4,320,0,16 a 30 años,,$ 1.154.000 COP,$ 3.593.750,$1.150.000.000,Loft
785,5,Excelente,7,4,1,217,0,más de 30 años,,$ 170.000 COP,"$ 3.364.055,3",$730.000.000,Loft
786,4,,4,4,,143,0,,,No definida,"$ 2.937.062,94",$420.000.000,
787,3,Excelente,3,1,,90,0,más de 30 años,,No definida,"$ 2.333.333,33",$210.000.000,Loft
788,2,,3,1,,36,0,,,$ 15.000 COP,"$ 3.888.888,89",$140.000.000,
789,4,,4,3,1,125,0,,4,$ 273.700 COP,$ 3.200.000,$400.000.000,
790,5,,3,3,1,82,0,,,$ 427.000 COP,"$ 5.121.951,22",$420.000.000,
791,4,Excelente,2,2,1,53,1,9 a 15 años,Otro,$ 216.000 COP,"$ 4.811.320,75",$255.000.000,
